tweet,class
Palestinian Media Outlet Explains a Way to Blame Coronavirus on Israeli Jews,0
Lithuania Drafts Law That Would Make It Impossible For Jews To Sue For ‘Holocaust’ Reparations ,0
"As armed white supremacist protestors waving confederate flags and signs declaring Jews to be the “real plague” gather all over the country to defend their “right” to spread a deadly virus, Mayor De Blasio thought it was appropriate to scapegoat our Jewish neighbors.",0
"You are not ‘The Jewish Community.” 
You represent 30% of British Jews.
You are only part of a diverse community with varying views on Labour and what constitutes antisemitism. ",0
"My definition of the Church in a nutshell: ""The Church is the messianic/New covenant community of Jews and Gentiles in this age between Acts 2 and the Rapture who have explicitly believed in Jesus the Messiah and have received the New Covenant ministry of the Holy Spirit.""",0
"@IsraeliPM @POTUS 
At least we know these two strive for peace, protecting Jews and Christians. Let's not forget @SenSanders is a Jew, but really is a Hezbollah Militant Promoter, he hooks up with Linda, Omar, &amp; CAIR. All who want death to America. Keep going Bernie, we see you. https://t.co/kfFPsL7NHF",0
"The above link about #detentioncenter of #Hitler . What he did to Jews community!! 
If #BJP don't want to such results then why are they bringing ",0
Boris Johnson's book depicts Jews as controlling the media ,0
"You mean I represent the 80% of American Jews who vote for the Democratic Party, yep, that’s right.
Whereas you apparently have Stockholm syndrome or some shit.",0
"For many of us, this will be the first Passover seder we've held in imperfect times. I find myself thinking of Jews in other times and places who found ways to celebrate in truly dire circumstances. At my family's seder tomorrow, we're going to talk about them. (Thread)",0
"Yep, nothing like comparing the estimated 15 and 20 million Jews who died in the Holocaust to illegals attempting to enter a country @JoeBiden. 🤦‍♀️And the woman asking the question is obviously an uneducated fool.",0
"Just another @UKLabour supporter/member pretending to be Jewish whilst calling us ""ZioNazis"" (white supremacist talk for Jews) &amp; announcing Jews are ""pedophiles.""
#LabourAntisemitism",0
"For by one Spirit are we all baptized into one body, whether we be Jews or Gentiles, whether we be bond or free; and have been all made to drink into one Spirit. ",0
"Orthodox Jews seen open carrying firearms in New York after spate of anti-Semitic attacks
It’s sad that it’s illegal to carry a gun In New York
Now these Jews will be considered criminals",0
"The Far Left’s hypocrisy sucks. They have the gall to lie about Jews “weaponising” antisemitism, while they weaponise Racism to defend the vile actions of people who happen to belong to certain groups. Hypocrisy and projection.",0
"Muslims only demand &amp; lies, they do not know what generosity is. Jews always give and stretch out a hand. After six days war they gave the keys to Muslims, but no reciprocity. Muslims invade Europe, uninvited and only demand. Only contribution here and Israel, is violence ",0
"On International Holocaust Remembrance Day, we mourn the lives of 6 million Jews who were systematically murdered.

Today and every day, we must redouble our efforts to confront anti-Semitism and all forms of religious discrimination and say #NeverAgain.",0
4 Teaser &amp; Trailers Hits 500K+ Kike,0
Zionazie.,0
MSNBC’s Ayman Mohyeldin Joins the ‘Exploit the Coronavirus to Demonize the Jews’ Party ,0
Fun fact for Holocaust Remembrance Day: this was the same tactic used to keep European Jews out of the United States in the 1930s.,0
‘The Mexicans are the new Jews’ — Music legend Linda Ronstadt isn’t afraid of comparing Trump to Hitler,0
"@the_moviebob SAME White petit bourgeois start openly saying stuff like ""beating to death Niggers and Kikes make my dick hard""

The Real True Left™: ""These are clearly lazy trust fund kids who used mom &amp; dad money to fly first class to that posh, foppish, neo-nazi demonstration""",0
"Quarter of the French Jews Have Been Assaulted by Anti-Semites, Half Feel Threatened Daily  Survey Finds  #Islam #MAGA #UniteBlue",0
"Thinking about how, throughout history, Jews faced enormous  pressure to become Christians/Muslims, and now face the same pressure to become anti-Zionists. Moral of the story? There is yet to be a point in history where a Jew is not maligned for holding beliefs held by most Jews",0
"Crusaders invaded the Middle East, burned Jews alive, killed, raped, pillaged. This really is no different than brandishing a swastika",0
"Notorious anti-Semite terror supporter Linda Sarsour’s BFF, Bürgermeister Warren Wilhelm, has a message for NYC’s Jews: ",0
@OscarJu97128129 @_SJPeace_ Parallels to those brave people who helped Jews escape Nazi Germany. This man is a hero,0
"Today we remember Raoul Wallenberg, who saved the life of 100,000 Jews in Hungary in the midst of the Holocaust. He was detained on January 17, 1945 and was never seen again. In 1985, he was made the first Honourary Citizen of Canada. #WeRemember ",0
"On #HolocaustMemorialDay and the 75th anniversary of Auschwitz's liberation, we honor the millions of Jews and other victims whose lives were extinguished by the Nazi regime. Today and every day, we must give hate no safe harbor to ensure such atrocities never again occur.",0
"'zionists', 'zios', 'zionazis', '(((them))), and now 'gnasher scum' and its variations. All used as substitute words for Jews and our allies ",0
"On Holocaust Remembrance Day, we remember the six million Jews and other victims of Nazism.

We honor their memories by speaking out against anti-Semitism, injustice, ",0
Just last month everyone cared about racism when Jews weren't safe in this country anymore. Now there's no such thing as racism in the UK because it's black people...,0
"Public school curriculum in the US:

Black people slaves
Brave women get vote
Jews holocausted
Mustache man bad
Black people get racism
Here is a disabled person
Black people poor
Gay people good
How to do drugs
AIDS, not just for gay people
Remember, jews holocausted",0
