tweet,class
Palestinian Media Outlet Explains a Way to Blame Coronavirus on Israeli Jews https://t.co/FxaRiegnVW,0
Lithuania Drafts Law That Would Make It Impossible For Jews To Sue For ‘Holocaust’ Reparations https://t.co/xvWYT1ONSF,0
"As armed white supremacist protestors waving confederate flags and signs declaring Jews to be the “real plague” gather all over the country to defend their “right” to spread a deadly virus, Mayor De Blasio thought it was appropriate to scapegoat our Jewish neighbors.",0
"You are not ‘The Jewish Community.” 
You represent 30% of British Jews.
You are only part of a diverse community with varying views on Labour and what constitutes antisemitism. https://t.co/uykVChvQ1r",0
"@MuhammadSmiry @Ranashubair ZioNazi are ghouls, Lucifer's spawn, not Human beings. They should be completely deleted from existence #BDS",1
@iris4ever2 @AmyMek Why don't you tell the goy that your holy books spreads hate against ALL non kikes. You are one in the same with them mongrels.,1
"My definition of the Church in a nutshell: ""The Church is the messianic/New covenant community of Jews and Gentiles in this age between Acts 2 and the Rapture who have explicitly believed in Jesus the Messiah and have received the New Covenant ministry of the Holy Spirit.""",0
💓 SHOCKING!!! #Syria The media's slanted view of kikes arguably is evidence of how many times the tax payer can be betrayed rawr xd #altfacts ! 🗿 🚗,1
"@IsraeliPM @POTUS 
At least we know these two strive for peace, protecting Jews and Christians. Let's not forget @SenSanders is a Jew, but really is a Hezbollah Militant Promoter, he hooks up with Linda, Omar, &amp; CAIR. All who want death to America. Keep going Bernie, we see you. https://t.co/kfFPsL7NHF",0
"https://t.co/Sr2xTXWrJN

The above link about #detentioncenter of #Hitler . What he did to Jews community!! 
If #BJP don't want to such results then why are they bringing #NRC_CAA_NPR . 

#NRC_CAA_Protest 
#IndiaDoesSupportCAA #IndiaAgainstCAA_NPR_NRC",0
Boris Johnson's book depicts Jews as controlling the media https://t.co/qQ5IAJIn8n,0
"@JakeJhgoldberg @robertbethename @SarahMichele44 @bradleyziffer You mean I represent the 80% of American Jews who vote for the Democratic Party, yep, that’s right.

Whereas you apparently have Stockholm syndrome or some shit.",0
"For many of us, this will be the first Passover seder we've held in imperfect times. I find myself thinking of Jews in other times and places who found ways to celebrate in truly dire circumstances. At my family's seder tomorrow, we're going to talk about them. (Thread)",0
"Yep, nothing like comparing the estimated 15 and 20 million Jews who died in the Holocaust to illegals attempting to enter a country @JoeBiden. 🤦‍♀️And the woman asking the question is obviously an uneducated fool.

https://t.co/WfQBkcTXgS",0
"Just another @UKLabour supporter/member pretending to be Jewish whilst calling us ""ZioNazis"" (white supremacist talk for Jews) &amp; announcing Jews are ""pedophiles.""

Hard left = Far-right, two cheeks of the same arse.

#LabourAntisemitism",0
"For by one Spirit are we all baptized into one body, whether we be Jews or Gentiles, whether we be bond or free; and have been all made to drink into one Spirit. 
1Co 12:13 KJV.",0
Trump as persuaded by alleged ZioNazi Youth Graduate Jared Kushner and Zionist ultra-racist Stephen Miller is continuing to push out the mountain of 'Yuge' lies in a vanishing return of hope of them being accepted as Truth. https://t.co/3PLdlevTG2,1
"Orthodox Jews seen open carrying firearms in New York after spate of anti-Semitic attacks

It’s sad that it’s illegal to carry a gun In New York

Now these Jews will be considered criminals for trying to protect themselves

https://t.co/6Yx1XfXwP7",0
"@RachelRileyRR @MaajidNawaz @QuilliamOrg The Far Left’s hypocrisy sucks. They have the gall to lie about Jews “weaponising” antisemitism, while they weaponise Racism to defend the vile actions of people who happen to belong to certain groups. Hypocrisy and projection.",0
"@afagerbakke Muslims only demand &amp; lies, they do not know what generosity is. Jews always give and stretch out a hand. After six days war they gave the keys to Muslims, but no reciprocity. Muslims invade Europe, uninvited and only demand. Only contribution here and Israel, is violence &amp; death",0
"On International Holocaust Remembrance Day, we mourn the lives of 6 million Jews who were systematically murdered.

Today and every day, we must redouble our efforts to confront anti-Semitism and all forms of religious discrimination and say #NeverAgain.",0
"4 Teaser &amp; Trailers Hits 500K+ Kikes💥💥💥💥💥

@Suriya_offl 
#அன்புள்ளசூர்யா #SooraraiPottru @Suriya_offl",0
Zionazie.,0
↪ FYI #TIL The American dream of  kikes feasibly might have been due to aliens ! FAKE . 🐑 🐱 🎯 🍁 👗 ⚽ 💛 🎯 💖 👺 🌰 🚑,1
MSNBC’s Ayman Mohyeldin Joins the ‘Exploit the Coronavirus to Demonize the Jews’ Party https://t.co/V2awK75x0a via @pamelageller,0
"Jews were the major cotton traders &amp; had nearly monopolized that industry, so they needed to re-establish plantation slavery to assure that that Jewish revenue stream would be secure long into the future. With cotton being nearly 90% of the American economy....",1
Fun fact for Holocaust Remembrance Day: this was the same tactic used to keep European Jews out of the United States in the 1930s.,0
🐄   #MAGA The worst thing about kikes in general is an example of cuckolds ? FAKE ! 🗾 ⛵ 🍆 👃 ⬅ #⃣ 🐹 🍅 🔼 🚑 🆒 🐝,1
@swilkinsonbc Zionazi #IsraeliCrimes https://t.co/q7Wl43vPhD,1
🐅 I guarantee that #TIL The saddest thing about kikes conceivably is indicative of aliens xD Sad ! 🚂 👆 👚 🚀 🚀 💈 ❄ 🐇 🏫 🈳 🚃 💫,1
‘The Mexicans are the new Jews’ — Music legend Linda Ronstadt isn’t afraid of comparing Trump to Hitler https://t.co/QSDjd1qf4n,0
"According to jews they left Palestine 2000 years ago as brown people, 2000 years latter the returned as white people.. https://t.co/OEXOYMl0tG",1
"@the_moviebob SAME White petit bourgeois start openly saying stuff like ""beating to death Niggers and Kikes make my dick hard""

The Real True Left™: ""These are clearly lazy trust fund kids who used mom &amp; dad money to fly first class to that posh, foppish, neo-nazi demonstration""",0
Can one of you fucking kikes get me a me fulltilt sponsorship? I've heard the criteria is being a dumb whore in world of dribbling nerds,1
